source_intersection,dest_intersection,intersection_topology,zone_type,time_of_day,day_of_week,weather_severity,road_friction,elevation_gradient,speed_limit,congestion_raw,traffic_volume_10hr,avg_speed_10hr,accident_occurred
17,10,T-Junction,Residential,Midday,Weekend,3.78,0.76,-3.1,75,59.69,"[355, 288, 289, 258, 223, 288, 174, 229, 161, 214]","[70.7, 70.0, 67.8, 68.4, 58.1, 65.6, 64.1, 64.2, 70.5, 63.2]",0
12,4,4-Way,Commercial,Late_Night,Weekday,9.66,0.64,-10.3,75,74.52,"[539, 391, 570, 491, 607, 504, 610, 585, 767, 649]","[71.3, 65.8, 61.8, 53.1, 42.4, 44.4, 36.4, 29.4, 20.5, 15.9]",1
25,1,4-Way,Commercial,Morning_Rush,Weekday,5.05,0.37,1.8,30,91.88,"[529, 620, 507, 751, 442, 723, 603, 551, 616, 673]","[32.7, 28.0, 22.9, 22.1, 23.0, 19.4, 15.8, 12.9, 10.1, 8.3]",1
44,45,Highway-Exit,Commercial,Late_Night,Weekday,7.81,0.68,0.4,30,81.53,"[554, 464, 606, 518, 494, 527, 848, 613, 636, 477]","[26.3, 25.7, 27.5, 22.7, 20.5, 18.1, 12.8, 14.1, 7.4, 8.8]",1
39,27,4-Way,Commercial,Midday,Weekend,3.79,0.85,2.8,45,80.36,"[272, 160, 212, 160, 308, 248, 138, 268, 223, 175]","[48.9, 41.0, 39.0, 38.5, 32.9, 34.0, 46.9, 38.1, 40.6, 30.3]",0
38,12,4-Way,Industrial,Late_Night,Weekend,1.51,0.8,-1.1,45,40.88,"[184, 280, 268, 337, 317, 238, 273, 234, 352, 307]","[41.3, 41.5, 47.7, 43.4, 48.3, 29.5, 42.8, 37.9, 49.3, 48.2]",0
30,45,4-Way,Commercial,Evening_Rush,Weekday,2.44,0.89,-2.2,30,51.55,"[251, 326, 339, 253, 373, 248, 239, 293, 232, 254]","[34.0, 27.1, 18.5, 28.8, 23.5, 31.3, 30.5, 34.4, 31.5, 32.5]",0
39,34,T-Junction,Residential,Late_Night,Weekend,0.19,0.82,10.0,45,10.98,"[216, 290, 348, 215, 339, 222, 207, 264, 285, 295]","[35.7, 42.7, 37.1, 33.1, 35.9, 36.7, 43.1, 46.3, 33.1, 42.3]",0
16,39,Roundabout,Commercial,Evening_Rush,Weekday,2.78,0.76,-7.4,60,23.5,"[191, 281, 218, 197, 289, 220, 234, 139, 297, 291]","[54.0, 46.4, 60.0, 50.7, 51.7, 65.6, 50.5, 57.7, 56.8, 56.0]",0
31,12,Roundabout,Industrial,Midday,Weekday,5.22,1.0,3.7,30,15.98,"[264, 268, 263, 247, 325, 184, 301, 291, 284, 305]","[26.5, 17.7, 26.6, 22.0, 23.3, 20.8, 24.6, 24.0, 15.1, 30.5]",0
0,11,Roundabout,Commercial,Morning_Rush,Weekday,4.37,0.79,-2.9,45,65.48,"[361, 280, 239, 247, 228, 254, 248, 207, 334, 175]","[44.1, 40.0, 50.0, 42.2, 38.7, 39.3, 40.7, 34.8, 36.7, 31.6]",0
34,17,Roundabout,Commercial,Evening_Rush,Weekday,8.55,0.26,-1.7,75,95.26,"[507, 609, 630, 402, 586, 656, 583, 536, 558, 545]","[73.7, 68.7, 66.3, 53.5, 47.7, 41.6, 33.6, 30.5, 16.9, 13.9]",1
35,17,Roundabout,Residential,Midday,Weekend,2.39,0.76,-1.6,30,31.95,"[290, 235, 208, 272, 295, 260, 209, 272, 229, 287]","[34.4, 14.0, 27.6, 18.3, 39.2, 24.7, 30.7, 26.8, 23.0, 22.4]",0
18,16,Roundabout,Residential,Midday,Weekend,5.69,0.87,-4.0,30,0.0,"[329, 297, 347, 252, 264, 236, 235, 197, 254, 210]","[29.2, 27.9, 28.4, 35.4, 26.8, 30.8, 37.3, 33.5, 32.8, 25.5]",0
27,38,4-Way,Commercial,Midday,Weekday,2.61,0.89,2.9,75,23.37,"[261, 184, 274, 263, 251, 301, 189, 331, 295, 246]","[66.8, 69.9, 75.1, 68.0, 68.2, 67.6, 76.4, 65.7, 67.4, 74.8]",0
1,21,Roundabout,Commercial,Midday,Weekday,5.94,0.82,7.0,75,30.18,"[257, 306, 204, 239, 324, 216, 242, 262, 200, 229]","[68.1, 67.7, 73.9, 75.2, 63.2, 68.1, 70.9, 75.1, 71.1, 69.0]",0
28,12,Roundabout,Commercial,Midday,Weekend,2.96,0.56,2.4,45,67.7,"[283, 283, 203, 259, 322, 239, 256, 237, 134, 251]","[42.0, 37.9, 34.7, 36.1, 44.3, 50.4, 47.4, 33.8, 44.8, 37.2]",0
42,44,4-Way,Commercial,Midday,Weekend,4.41,0.8,0.5,75,47.93,"[220, 226, 285, 297, 245, 245, 273, 278, 308, 185]","[67.6, 62.2, 67.2, 66.4, 67.3, 63.5, 60.1, 57.0, 66.8, 65.3]",0
28,37,Highway-Exit,Commercial,Late_Night,Weekday,9.18,0.23,-4.9,60,88.5,"[532, 732, 514, 741, 762, 404, 609, 560, 308, 455]","[61.5, 58.7, 51.1, 44.6, 38.6, 36.7, 32.3, 21.5, 13.3, 7.8]",1
42,18,T-Junction,Commercial,Evening_Rush,Weekend,8.38,0.06,2.6,30,86.33,"[732, 595, 618, 420, 524, 570, 620, 560, 496, 521]","[32.4, 27.8, 25.9, 20.2, 13.4, 15.6, 12.3, 12.0, 15.2, 7.4]",1
18,23,Highway-Exit,Commercial,Late_Night,Weekday,7.55,0.54,10.8,60,55.27,"[873, 656, 537, 634, 778, 782, 542, 625, 457, 682]","[63.1, 54.7, 48.0, 44.7, 39.5, 33.5, 28.4, 22.3, 19.3, 13.5]",1
27,18,Highway-Exit,Commercial,Evening_Rush,Weekday,5.0,0.18,-1.9,45,72.34,"[501, 498, 574, 673, 614, 535, 626, 566, 688, 633]","[44.4, 41.5, 39.6, 31.9, 29.8, 24.9, 21.9, 15.7, 13.2, 11.2]",1
33,20,Roundabout,Residential,Midday,Weekend,2.73,0.73,-1.9,75,15.95,"[203, 183, 185, 191, 279, 179, 235, 280, 270, 230]","[68.5, 68.0, 66.4, 66.4, 78.7, 71.5, 79.9, 65.0, 67.1, 60.8]",0
30,23,4-Way,Industrial,Morning_Rush,Weekday,5.93,0.31,-2.8,30,87.92,"[519, 790, 547, 791, 475, 494, 565, 593, 692, 645]","[29.2, 27.1, 24.0, 20.2, 17.6, 18.7, 10.3, 14.6, 8.0, 4.5]",1
36,29,T-Junction,Residential,Midday,Weekday,7.29,0.84,-2.4,75,23.5,"[286, 324, 305, 275, 304, 164, 223, 204, 311, 230]","[71.7, 70.2, 63.2, 64.6, 74.0, 63.6, 68.1, 63.6, 65.9, 67.3]",0
18,27,T-Junction,Commercial,Midday,Weekday,2.06,0.92,-13.7,75,40.93,"[210, 201, 264, 207, 209, 203, 246, 297, 325, 213]","[78.3, 62.5, 72.9, 63.9, 63.1, 63.8, 67.2, 70.4, 70.8, 62.8]",0
31,47,Roundabout,Commercial,Midday,Weekend,3.32,0.79,2.0,45,41.56,"[200, 204, 244, 239, 202, 263, 363, 224, 228, 277]","[37.7, 43.8, 36.9, 49.7, 42.2, 37.4, 37.6, 37.9, 47.4, 34.2]",0
28,34,Roundabout,Industrial,Midday,Weekend,5.31,0.84,-4.2,45,70.88,"[216, 221, 249, 236, 175, 230, 245, 218, 284, 295]","[40.1, 41.7, 29.7, 38.4, 45.5, 38.4, 36.8, 51.9, 49.6, 42.8]",0
8,45,4-Way,Commercial,Late_Night,Weekday,1.78,0.8,-8.1,45,47.7,"[306, 138, 210, 226, 238, 225, 122, 269, 277, 330]","[36.6, 36.1, 27.1, 39.0, 45.0, 37.4, 51.2, 39.2, 41.2, 33.7]",0
6,37,Roundabout,Commercial,Late_Night,Weekday,0.98,0.7,3.8,45,0.0,"[264, 151, 284, 286, 317, 199, 258, 278, 272, 206]","[28.5, 42.2, 39.7, 37.7, 44.3, 40.3, 33.9, 30.8, 34.9, 52.5]",0
11,16,Highway-Exit,Residential,Late_Night,Weekday,4.3,0.19,-5.4,30,88.78,"[672, 618, 581, 575, 716, 550, 657, 565, 794, 674]","[32.5, 26.2, 26.8, 21.4, 19.6, 19.9, 11.9, 11.7, 9.5, 7.0]",1
30,47,T-Junction,Residential,Midday,Weekday,0.0,0.84,-1.7,60,11.0,"[227, 354, 185, 322, 310, 345, 170, 206, 324, 156]","[46.0, 51.6, 55.0, 62.0, 53.1, 51.0, 55.6, 56.3, 56.2, 53.1]",0
17,33,4-Way,Residential,Evening_Rush,Weekday,2.42,0.82,7.3,60,20.68,"[152, 204, 321, 259, 233, 305, 193, 238, 256, 227]","[54.5, 53.1, 47.0, 54.9, 47.4, 54.8, 60.9, 52.6, 48.1, 53.4]",0
27,8,Roundabout,Commercial,Morning_Rush,Weekend,3.49,0.74,-7.0,30,23.76,"[208, 279, 242, 335, 308, 242, 285, 230, 251, 231]","[30.8, 34.2, 31.0, 31.6, 31.6, 29.8, 21.3, 35.5, 36.0, 25.8]",0
49,12,4-Way,Commercial,Midday,Weekday,2.46,0.64,-7.7,75,26.73,"[231, 280, 277, 239, 187, 265, 277, 286, 267, 236]","[72.5, 67.8, 65.2, 66.6, 58.8, 66.6, 70.9, 69.2, 75.1, 66.2]",0
20,13,4-Way,Industrial,Late_Night,Weekday,7.78,0.57,1.3,30,87.48,"[648, 679, 834, 614, 495, 684, 786, 567, 684, 722]","[32.0, 27.6, 23.3, 21.8, 20.3, 18.5, 14.7, 10.6, 9.8, 7.7]",1
8,25,4-Way,Commercial,Late_Night,Weekday,6.19,0.77,5.7,60,44.07,"[268, 208, 240, 297, 180, 145, 325, 275, 280, 196]","[57.7, 55.4, 46.1, 61.1, 54.8, 52.0, 52.1, 43.9, 57.0, 55.3]",0
33,20,4-Way,Residential,Late_Night,Weekday,5.55,0.14,-7.9,60,79.12,"[580, 727, 461, 540, 514, 572, 606, 643, 565, 512]","[63.4, 59.5, 49.6, 42.5, 41.6, 30.4, 27.3, 21.3, 15.0, 11.4]",1
33,43,4-Way,Residential,Midday,Weekend,5.71,0.09,2.0,30,95.89,"[513, 601, 602, 537, 562, 576, 680, 585, 682, 658]","[31.1, 30.1, 22.4, 21.1, 22.9, 16.2, 8.4, 10.9, 8.9, 0.8]",1
46,19,Roundabout,Residential,Evening_Rush,Weekday,2.48,0.59,2.9,45,84.74,"[316, 214, 266, 238, 185, 196, 203, 304, 242, 223]","[35.8, 46.5, 47.8, 46.4, 43.0, 41.9, 34.4, 39.3, 37.1, 31.4]",0
23,10,4-Way,Commercial,Midday,Weekday,1.24,0.73,-10.3,75,13.41,"[302, 215, 309, 294, 277, 280, 219, 342, 252, 265]","[64.3, 62.8, 69.9, 68.6, 63.6, 60.3, 61.2, 73.5, 64.4, 65.8]",0
15,41,4-Way,Commercial,Evening_Rush,Weekday,10.0,0.33,4.0,30,88.0,"[745, 487, 527, 523, 761, 799, 675, 678, 541, 794]","[30.5, 29.0, 24.5, 21.5, 22.7, 17.7, 16.9, 11.8, 7.0, 4.8]",1
27,49,Roundabout,Residential,Late_Night,Weekday,2.57,0.95,4.4,60,0.0,"[255, 218, 194, 310, 222, 256, 264, 220, 322, 194]","[55.3, 55.2, 53.7, 47.5, 58.4, 57.7, 50.6, 57.5, 55.9, 47.6]",0
45,34,Roundabout,Industrial,Midday,Weekday,0.64,0.64,-1.6,45,33.98,"[207, 306, 265, 221, 207, 224, 227, 207, 162, 307]","[45.4, 34.1, 41.2, 36.0, 39.2, 38.8, 38.4, 50.5, 38.3, 36.5]",0
46,47,4-Way,Industrial,Evening_Rush,Weekday,5.49,0.15,6.3,75,94.44,"[523, 704, 434, 523, 744, 624, 619, 813, 624, 529]","[74.4, 66.1, 64.2, 56.1, 50.6, 44.1, 34.2, 26.4, 21.6, 13.3]",1
34,30,T-Junction,Commercial,Midday,Weekday,1.76,0.81,5.7,60,54.41,"[258, 306, 241, 257, 245, 290, 216, 140, 273, 299]","[56.2, 50.8, 48.3, 56.5, 54.7, 53.4, 63.1, 49.3, 62.9, 54.2]",0
5,17,Highway-Exit,Commercial,Midday,Weekday,0.0,0.79,0.5,75,41.55,"[158, 241, 297, 231, 176, 241, 207, 274, 288, 197]","[64.0, 71.3, 63.2, 62.1, 61.6, 69.3, 69.0, 64.1, 67.5, 75.1]",0
37,13,Roundabout,Industrial,Midday,Weekday,5.66,0.78,-2.3,45,57.79,"[201, 152, 272, 244, 214, 282, 291, 139, 217, 365]","[43.4, 43.9, 46.4, 40.6, 44.5, 44.1, 43.2, 38.9, 41.4, 37.6]",0
40,48,Highway-Exit,Residential,Evening_Rush,Weekday,7.82,0.0,-4.9,60,91.25,"[601, 483, 520, 571, 505, 549, 583, 640, 694, 553]","[62.7, 56.5, 50.3, 44.3, 39.3, 35.7, 30.4, 25.3, 17.4, 13.1]",1
10,4,4-Way,Industrial,Morning_Rush,Weekend,1.78,0.9,-0.2,45,74.25,"[317, 218, 234, 250, 294, 295, 238, 174, 262, 204]","[33.1, 34.2, 42.1, 47.3, 40.7, 41.6, 46.4, 32.8, 43.1, 40.4]",0
3,16,T-Junction,Commercial,Evening_Rush,Weekday,0.0,0.69,2.8,30,29.55,"[278, 225, 209, 257, 332, 293, 224, 182, 165, 315]","[22.2, 25.4, 33.6, 18.9, 34.5, 25.7, 21.3, 25.8, 23.4, 29.2]",0
13,20,Highway-Exit,Residential,Midday,Weekday,6.48,0.83,-1.6,30,10.98,"[217, 154, 238, 182, 260, 190, 225, 259, 239, 262]","[30.4, 21.2, 26.7, 10.4, 28.2, 25.5, 22.1, 28.6, 32.9, 24.6]",0
12,13,Roundabout,Residential,Morning_Rush,Weekday,0.42,0.76,-11.0,75,31.88,"[202, 258, 183, 216, 311, 253, 156, 160, 258, 293]","[59.4, 69.7, 74.2, 76.9, 69.2, 70.0, 56.8, 78.0, 64.6, 62.8]",0
14,2,T-Junction,Residential,Midday,Weekday,3.12,0.72,6.3,45,21.06,"[237, 325, 360, 256, 299, 252, 198, 323, 218, 326]","[47.0, 43.6, 49.6, 51.7, 39.6, 36.5, 31.2, 51.7, 38.3, 46.2]",0
48,30,4-Way,Commercial,Evening_Rush,Weekend,4.83,1.0,1.0,45,49.03,"[212, 326, 214, 190, 239, 223, 279, 247, 281, 235]","[37.2, 37.6, 50.7, 41.6, 30.6, 37.9, 41.0, 49.7, 45.6, 35.9]",0
7,24,Roundabout,Commercial,Morning_Rush,Weekday,3.84,0.84,-1.9,75,16.38,"[370, 248, 312, 192, 130, 179, 87, 355, 260, 203]","[69.8, 68.4, 70.6, 73.5, 66.1, 63.1, 71.6, 71.5, 68.0, 78.4]",0
42,46,Highway-Exit,Residential,Late_Night,Weekend,7.84,0.36,4.3,75,88.25,"[556, 510, 641, 532, 649, 516, 559, 789, 559, 520]","[77.3, 66.2, 60.3, 56.2, 50.2, 44.1, 33.5, 29.5, 20.7, 13.8]",1
23,43,T-Junction,Commercial,Morning_Rush,Weekday,0.0,0.91,7.6,75,56.76,"[310, 222, 263, 257, 196, 298, 278, 150, 263, 211]","[73.0, 60.3, 65.7, 69.3, 67.8, 71.3, 59.9, 75.8, 70.1, 74.3]",0
10,16,Roundabout,Commercial,Morning_Rush,Weekday,1.38,0.66,-14.0,30,37.99,"[293, 249, 185, 221, 329, 319, 219, 109, 239, 235]","[25.8, 29.6, 31.4, 32.0, 29.2, 18.0, 25.3, 38.5, 28.9, 28.8]",0
47,25,Highway-Exit,Industrial,Morning_Rush,Weekend,3.38,0.98,2.2,75,21.07,"[267, 270, 130, 238, 248, 314, 252, 167, 271, 209]","[61.4, 63.3, 70.2, 73.8, 69.9, 70.7, 69.9, 68.0, 71.0, 55.4]",0
34,16,Roundabout,Commercial,Evening_Rush,Weekday,8.8,0.22,-7.1,30,73.22,"[611, 495, 716, 585, 603, 449, 701, 662, 655, 518]","[28.5, 27.8, 23.3, 22.9, 15.0, 15.7, 17.6, 12.2, 9.0, 10.0]",1
24,18,Roundabout,Industrial,Morning_Rush,Weekday,3.41,0.72,2.5,75,2.42,"[133, 209, 229, 292, 293, 206, 299, 229, 310, 198]","[66.9, 65.0, 72.8, 64.9, 67.3, 70.0, 70.2, 71.9, 68.6, 65.4]",0
22,26,4-Way,Commercial,Midday,Weekday,8.32,0.35,0.6,45,96.11,"[565, 602, 624, 585, 601, 448, 666, 618, 700, 600]","[41.5, 40.3, 36.6, 34.5, 24.9, 25.1, 22.0, 15.7, 13.1, 7.7]",1
46,6,Roundabout,Residential,Midday,Weekend,4.93,0.86,3.2,45,39.17,"[213, 229, 214, 284, 213, 204, 338, 298, 156, 211]","[41.7, 42.1, 33.0, 46.3, 44.6, 42.9, 47.3, 42.8, 42.7, 48.3]",0
44,25,Roundabout,Industrial,Evening_Rush,Weekday,0.55,0.82,-2.5,75,40.32,"[305, 207, 281, 216, 275, 273, 180, 243, 263, 228]","[69.1, 71.5, 67.3, 68.6, 74.4, 69.9, 68.5, 62.7, 70.9, 69.2]",0
6,4,Roundabout,Commercial,Midday,Weekend,7.39,0.78,-9.4,75,43.61,"[314, 252, 159, 164, 286, 221, 271, 255, 241, 245]","[63.2, 67.4, 64.6, 65.6, 65.9, 66.4, 72.1, 66.9, 72.6, 75.2]",0
4,1,Roundabout,Commercial,Midday,Weekday,4.53,0.8,-2.3,30,52.21,"[292, 276, 266, 293, 254, 299, 280, 232, 294, 254]","[26.5, 24.6, 27.8, 32.0, 31.4, 28.8, 30.0, 33.4, 26.3, 21.4]",0
31,15,T-Junction,Commercial,Morning_Rush,Weekend,3.0,0.7,2.0,60,39.29,"[315, 223, 215, 160, 278, 168, 212, 279, 286, 217]","[53.3, 49.6, 51.3, 55.3, 51.5, 52.8, 46.7, 59.7, 56.6, 58.0]",0
27,44,Highway-Exit,Commercial,Midday,Weekday,5.18,0.65,5.1,30,32.64,"[314, 208, 232, 155, 407, 242, 301, 188, 299, 342]","[26.7, 21.9, 26.3, 15.9, 26.8, 31.1, 26.8, 25.6, 29.6, 30.0]",0
43,10,Roundabout,Residential,Midday,Weekend,7.73,0.87,-5.9,45,31.85,"[167, 254, 371, 183, 245, 347, 305, 224, 260, 249]","[36.8, 40.1, 39.1, 41.1, 36.8, 34.1, 40.3, 49.1, 40.9, 38.8]",0
2,38,4-Way,Industrial,Midday,Weekday,0.12,0.87,5.1,75,27.77,"[287, 242, 343, 249, 285, 212, 275, 263, 247, 224]","[64.3, 68.9, 70.6, 66.9, 68.9, 67.3, 68.0, 66.5, 67.6, 81.0]",0
29,22,Roundabout,Commercial,Midday,Weekend,2.55,0.96,-3.2,45,55.75,"[265, 282, 271, 236, 314, 235, 302, 233, 202, 268]","[35.0, 43.2, 34.5, 38.9, 33.3, 54.6, 32.2, 40.5, 46.2, 45.7]",0
43,34,Highway-Exit,Commercial,Morning_Rush,Weekday,6.36,0.14,1.8,60,83.66,"[685, 568, 735, 691, 621, 624, 569, 509, 723, 731]","[58.2, 54.4, 49.0, 43.9, 38.8, 35.2, 26.5, 21.0, 19.8, 11.1]",1
4,5,T-Junction,Commercial,Morning_Rush,Weekday,3.39,0.87,-2.5,30,56.94,"[186, 225, 233, 327, 296, 307, 290, 297, 215, 240]","[22.1, 25.9, 30.4, 27.7, 33.6, 21.3, 29.5, 20.8, 27.5, 30.7]",0
